																																				
#Gene_Name	Gene_Length	%GC_ref	102-11C_S3_L001_length	126-11c_S9_L001_length	1ES86798_S2_L001_length	1EV02973_S11_L001_length	1EV02981_S8_L001_length	2KK58589_S7_L001_length	2KR049010_S2_L001_length	512022_S1_L001_length	BL37577_S10_L001_length	BL37590_S4_L001_length	C00413_S5_L001_length	C00434_S6_L001_length	CC50362-2_S1_L001_length	CC50362-3_S4_L001_length	IMIN44_S12_L001_length	Undetermined_S0_L001_length	ZL10_S3_L001_length	102-11C_S3_L001_identity	126-11c_S9_L001_identity	1ES86798_S2_L001_identity	1EV02973_S11_L001_identity	1EV02981_S8_L001_identity	2KK58589_S7_L001_identity	2KR049010_S2_L001_identity	512022_S1_L001_identity	BL37577_S10_L001_identity	BL37590_S4_L001_identity	C00413_S5_L001_identity	C00434_S6_L001_identity	CC50362-2_S1_L001_identity	CC50362-3_S4_L001_identity	IMIN44_S12_L001_identity	Undetermined_S0_L001_identity	ZL10_S3_L001_identity
CoxI	1433	27.5	1433	1433	1433	1433	1433	1415	1433	1433	1419	1433	1416	1433	1433	1433	1155	1377	1292	99.9	99.9	96.3	94.1	96.6	96.5	97.6	94.6	96.4	96.5	99.8	99.8	96.3	96.3	93.1	98.8	97.3
CoxIII	752	24.9	752	717	594	498	652	516	752	644	446	700	544	718	752	752	520	655	444	100.0	100.0	95.5	98.5	95.4	94.9	98.1	92.4	95.8	95.1	99.8	99.9	94.9	94.9	89.0	99.3	97.2
Cytb	1121	27.1	1121	1121	1121	1121	1121	1121	1121	1121	1121	1121	1121	1121	1121	1121	1121	1075	1121	100.0	100.0	96.1	93.7	95.6	96.2	98.4	93.9	95.5	95.6	99.9	99.9	96.1	96.1	90.9	99.4	94.9
HtGene0006	507	31.6	507	507	342	0	353	0	503	318	62	389	306	507	423	424	0	452	0	51.3	51.3	58.8	0	58.3	74.1	51.3	61.1	62.9	56.0	58.6	51.3	56.0	56.4	67.6	51.8	0
HtGene0007	2871	31.4	2871	2871	0	0	0	0	1691	0	0	0	904	2871	0	0	0	2510	0	50.1	50.0	0	0	0	0	64.6	0	0	0	61.4	49.9	0	81.1	0	51.3	0
HtGene0013	867	30.7	867	867	0	0	0	0	834	0	0	0	0	867	0	0	0	721	0	100.0	100.0	100.0	0	0	0	95.2	0	0	0	99.5	99.4	98.9	100.0	0	100.0	0
HtGene0014	2148	34.5	2148	2148	165	0	175	0	723	390	0	188	1163	2148	250	277	290	1948	0	44.9	44.9	78.7	0	81.8	0	53.3	68.9	88.3	69.0	49.7	45.3	74.8	75.1	61.3	44.5	76.4
HtGene0015	2454	34.4	2454	2454	908	0	805	534	2454	1803	277	1010	846	2454	1517	1420	0	2137	0	100.0	100.0	94.2	100.0	96.8	95.9	93.7	86.5	100.0	95.7	99.2	99.4	95.1	94.9	0	99.0	0
HtGene0017	1716	34.9	1716	1716	246	0	471	0	1716	1138	158	634	678	1716	997	813	0	1417	0	100.0	100.0	100.0	100.0	99.6	0	92.9	85.2	100.0	98.2	98.9	99.2	97.2	97.2	0	99.9	0
HtGene0018	14325	31.0	13562	13457	204	0	285	0	1989	67	111	335	5264	13476	492	555	37	11303	0	49.8	50.2	92.6	90.6	88.9	95.4	75.2	90.2	95.1	95.2	62.8	49.7	82.9	84.5	90.5	51.5	95.2
