																																																		
#Gene_Name	Gene_Length	%GC_ref	102-11C_S3_L001_length	126-11c_S9_L001_length	1ES86798_S2_L001_length	1EV02973_S11_L001_length	1EV02981_S8_L001_length	2KK58589_S7_L001_length	2KR049010_S2_L001_length	512022_S1_L001_length	BL37577_S10_L001_length	BL37590_S4_L001_length	C00413_S5_L001_length	C00434_S6_L001_length	CC50362-2_S1_L001_length	CC50362-3_S4_L001_length	IMIN44_S12_L001_length	ZL10_S3_L001_length	102-11C_S3_L001_identity	126-11c_S9_L001_identity	1ES86798_S2_L001_identity	1EV02973_S11_L001_identity	1EV02981_S8_L001_identity	2KK58589_S7_L001_identity	2KR049010_S2_L001_identity	512022_S1_L001_identity	BL37577_S10_L001_identity	BL37590_S4_L001_identity	C00413_S5_L001_identity	C00434_S6_L001_identity	CC50362-2_S1_L001_identity	CC50362-3_S4_L001_identity	IMIN44_S12_L001_identity	ZL10_S3_L001_identity	102-11C_S3_L001_coverage	126-11c_S9_L001_coverage	1ES86798_S2_L001_coverage	1EV02973_S11_L001_coverage	1EV02981_S8_L001_coverage	2KK58589_S7_L001_coverage	2KR049010_S2_L001_coverage	512022_S1_L001_coverage	BL37577_S10_L001_coverage	BL37590_S4_L001_coverage	C00413_S5_L001_coverage	C00434_S6_L001_coverage	CC50362-2_S1_L001_coverage	CC50362-3_S4_L001_coverage	IMIN44_S12_L001_coverage	ZL10_S3_L001_coverage
CoxI	1433	27.5	1433	1433	1433	1433	1433	1415	1433	1433	1419	1433	1416	1433	1433	1433	1198	1315	99.9	99.9	96.3	93.2	96.6	95.4	97.6	94.6	95.5	96.5	98.6	99.8	96.3	96.3	84.7	87.2	100.0	100.0	100.0	100.0	100.0	98.7	100.0	100.0	99.0	100.0	98.8	100.0	100.0	100.0	83.6	91.8
CoxIII	752	24.9	752	717	594	589	650	516	752	644	446	697	540	718	752	752	524	530	100.0	95.3	77.4	70.3	83.4	80.8	98.1	85.4	73.5	88.2	94.4	95.3	94.9	94.9	81.9	64.4	100.0	95.3	79.0	78.3	86.4	68.6	100.0	85.6	59.3	92.7	71.8	95.5	100.0	100.0	69.7	70.5
Cytb	1121	27.1	1121	1121	1121	1121	1121	1121	1121	1121	1121	1121	1121	1121	1121	1121	1121	1121	100.0	100.0	96.1	93.6	95.6	96.2	98.4	93.9	95.4	95.6	99.9	99.9	96.1	96.1	90.9	90.7	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
HtGene0006	507	31.6	507	507	460	0	352	0	507	318	293	449	306	507	461	461	0	0	99.8	100.0	88.1	0.0	75.4	0.0	92.3	73.7	65.0	89.3	80.7	99.8	87.9	87.9	0.0	0	100.0	100.0	90.7	0.0	69.4	0.0	100.0	62.7	57.8	88.6	60.4	100.0	90.9	90.9	0.0	0.0
HtGene0007	2871	31.4	2871	2871	0	0	25	0	1845	0	0	318	901	2871	395	586	0	0	99.9	100.0	0.0	0	15.2	0	79.8	0	0	70.3	45.0	98.8	35.5	33.5	0	0	100.0	100.0	0.0	0.0	0.9	0.0	64.3	0.0	0.0	11.1	31.4	100.0	13.8	20.4	0.0	0.0
HtGene0013	867	30.7	867	867	0	0	0	0	860	0	0	313	0	867	0	0	0	0	100.0	100.0	0.0	0	0.0	0	90.9	0	0	52.5	0.0	99.4	0.0	0.0	0	0	100.0	100.0	0.0	0.0	0.0	0.0	99.2	0.0	0.0	36.1	0.0	100.0	0.0	0.0	0.0	0.0
HtGene0014	2148	34.5	2148	2148	650	196	502	200	1331	439	439	674	1391	2148	949	978	290	84	100.0	100.0	65.9	62.2	59.7	27.4	70.1	75.9	60.5	59.2	73.4	98.4	83.5	86.7	79.0	24.6	100.0	100.0	30.3	9.1	23.4	9.3	62.0	20.4	20.4	31.4	64.8	100.0	44.2	45.5	13.5	3.9
HtGene0015	2454	34.4	2454	2454	2178	0	1711	856	2454	1145	772	2231	846	2454	2340	2392	0	0	100.0	100.0	84.5	0.0	70.2	69.8	93.2	50.8	39.2	79.6	63.5	99.4	84.1	84.2	0	0	100.0	100.0	88.8	0.0	69.7	34.9	100.0	46.7	31.5	90.9	34.5	100.0	95.4	97.5	0.0	0.0
HtGene0017	1716	34.9	1716	1716	1086	274	1097	550	1716	923	158	1492	802	1716	1680	1679	0	0	100.0	100.0	58.7	41.4	65.7	41.8	91.6	65.6	14.8	75.4	79.3	99.2	84.7	84.7	0	0	100.0	100.0	63.3	16.0	63.9	32.1	100.0	53.8	9.2	86.9	46.7	100.0	97.9	97.8	0.0	0.0
HtGene0018	14325	31.0	13571	13457	400	4	350	163	4299	320	169	677	5845	13496	862	1204	37	173	98.8	99.5	43.6	0.6	25.3	37.4	63.6	46.4	43.7	48.8	63.8	97.1	31.9	38.9	9.3	38.3	94.7	93.9	2.8	0.0	2.4	1.1	30.0	2.2	1.2	4.7	40.8	94.2	6.0	8.4	0.3	1.2
